area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3605000
4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,3605000
3150,3,1,2,yes,no,yes,no,no,0,no,furnished,3570000
4500,4,2,2,yes,no,yes,no,no,2,no,furnished,3570000
4500,2,1,1,no,no,no,no,no,0,no,furnished,3570000
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,3570000
3850,3,1,1,yes,no,no,no,no,2,no,unfurnished,3535000
4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,3500000
3650,3,1,2,yes,no,no,no,no,0,no,unfurnished,3500000
4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,3500000
2135,3,2,2,no,no,no,no,no,0,no,unfurnished,3500000
3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,3500000
3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3500000
7424,3,1,1,no,no,no,no,no,0,no,unfurnished,3500000
3480,3,1,1,no,no,no,no,yes,0,no,unfurnished,3500000
3600,6,1,2,yes,no,no,no,no,1,no,unfurnished,3500000
3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished,3500000
5900,2,1,1,yes,no,no,no,no,1,no,furnished,3500000
3120,3,1,2,yes,no,no,no,no,1,no,unfurnished,3500000
7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished,3500000
3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,3500000
9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished,3500000
5880,2,1,1,yes,no,no,no,no,0,no,unfurnished,3500000
12944,3,1,1,yes,no,no,no,no,0,no,unfurnished,3500000
4900,3,1,2,no,no,no,no,no,0,no,unfurnished,3493000
3060,3,1,1,yes,no,no,no,no,0,no,unfurnished,3465000
5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished,3465000
2145,3,1,3,yes,no,no,no,no,0,yes,furnished,3465000
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,3430000
3185,2,1,1,yes,no,no,no,no,2,no,unfurnished,3430000
3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,3430000
2145,3,1,3,yes,no,no,no,no,0,yes,furnished,3430000
2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished,3430000
1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished,3430000
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,3423000
4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished,3395000
3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished,3395000
3640,2,1,1,yes,no,no,no,no,0,no,furnished,3395000
3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished,3360000
4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,3360000
4120,2,1,2,yes,no,no,no,no,0,no,unfurnished,3360000
4750,2,1,1,yes,no,no,no,no,0,no,unfurnished,3360000
3720,2,1,1,no,no,no,no,yes,0,no,unfurnished,3360000
3750,3,1,1,yes,no,no,no,no,0,no,unfurnished,3360000
3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3360000
3185,2,1,1,yes,no,yes,no,no,2,no,furnished,3360000
2700,3,1,1,no,no,no,no,no,0,no,furnished,3353000
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,3332000
4040,2,1,1,yes,no,no,no,no,1,no,unfurnished,3325000
4775,4,1,2,yes,no,no,no,no,0,no,unfurnished,3325000
2500,2,1,1,no,no,no,no,yes,0,no,unfurnished,3290000
3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished,3290000
6060,3,1,1,yes,yes,yes,no,no,0,no,furnished,3290000
3480,4,1,2,no,no,no,no,no,1,no,semi-furnished,3290000
3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished,3290000
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,3290000
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,3290000
5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,3290000
4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,3255000
3930,2,1,1,no,no,no,no,no,0,no,unfurnished,3255000
3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,3234000
4370,3,1,2,yes,no,no,no,no,0,no,unfurnished,3220000
2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished,3220000
4320,3,1,1,no,no,no,no,no,1,no,unfurnished,3220000
3120,3,1,2,no,no,no,no,no,0,no,furnished,3220000
3450,1,1,1,yes,no,no,no,no,0,no,furnished,3150000
3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished,3150000
3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished,3150000
4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished,3150000
1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,3150000
3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,3150000
6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3150000
9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished,3150000
3069,2,1,1,yes,no,no,no,no,1,no,unfurnished,3150000
4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,3143000
5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished,3129000
2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,3118850
3000,3,1,1,no,no,no,no,yes,0,no,unfurnished,3115000
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,3115000
3500,2,1,1,yes,no,no,no,no,0,no,unfurnished,3115000
8100,2,1,1,yes,no,no,no,no,1,no,unfurnished,3087000
4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished,3080000
2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3080000
3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished,3080000
4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,3080000
3800,2,1,1,yes,no,no,no,no,0,no,unfurnished,3045000
3090,3,1,2,no,no,no,no,no,0,no,semi-furnished,3010000
3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished,3010000
2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3010000
4600,2,1,1,yes,no,no,no,no,0,no,furnished,3010000
5076,3,1,1,no,no,no,no,no,0,no,unfurnished,3010000
3750,3,1,2,yes,no,no,no,no,0,no,unfurnished,3010000
3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished,3010000
8050,2,1,1,yes,no,no,no,no,0,no,unfurnished,3003000
4352,4,1,2,no,no,no,no,no,1,no,unfurnished,2975000
3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,2961000
5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,2940000
4960,2,1,1,yes,no,no,no,no,0,no,unfurnished,2940000
3600,3,1,2,no,no,no,no,no,1,no,unfurnished,2940000
3660,4,1,2,no,no,no,no,no,0,no,unfurnished,2940000
